,label,area,equivalent_diameter,mean_intensity,solidity,area_sq_microns,equivalent_diameter_microns
2,3,944.0,34.668979365276876,113.13347457627118,0.9642492339121552,339.84,20.801387619166125
3,4,2621.0,57.76816464758822,107.67913010301412,0.9465511014806789,943.56,34.660898788552934
5,6,4340.0,74.3361259694814,116.45322580645161,0.8392960742602978,1562.3999999999999,44.60167558168884
8,9,871.0,33.30152614317138,63.1044776119403,0.964562569213732,313.56,19.980915685902826
10,11,2653.0,58.11974287780691,114.54240482472673,0.9305506839705366,955.0799999999999,34.87184572668414
11,12,852.0,32.9363035587535,127.65023474178403,0.8075829383886256,306.71999999999997,19.7617821352521
17,18,9876.0,112.13613932985417,119.38527744025922,0.6970146093584586,3555.3599999999997,67.2816835979125
20,21,2596.0,57.49199820959855,116.21340523882897,0.9664929262844378,934.56,34.49519892575913
22,23,2847.0,60.207250259923086,107.90305584826133,0.94994994994995,1024.92,36.12435015595385
24,25,1766.0,47.41878357784284,128.1070215175538,0.7769467663880334,635.76,28.451270146705703
26,27,1065.0,36.823906842470535,81.24413145539906,0.9424778761061947,383.4,22.09434410548232
29,30,2697.0,58.59971887433193,108.55246570263256,0.9577414772727273,970.92,35.15983132459915
30,31,274.0,18.677998695187732,130.3941605839416,0.7851002865329513,98.64,11.20679921711264
31,32,1840.0,48.402073946399234,108.29728260869565,0.934010152284264,662.4,29.04124436783954
33,34,126.0,12.666024736934256,131.9047619047619,0.6596858638743456,45.36,7.599614842160554
36,37,141.0,13.398760233979036,129.8581560283688,0.815028901734104,50.76,8.03925614038742
38,39,4538.0,76.01290057620594,116.39687086822389,0.7031298419584754,1633.6799999999998,45.60774034572356
39,40,3000.0,61.80387232371034,112.63833333333334,0.965561635017702,1080.0,37.0823233942262
40,41,139.0,13.303394180365686,116.94244604316546,0.9266666666666666,50.04,7.982036508219411
41,42,2675.0,58.360224315594955,126.14953271028037,0.6744831064044378,963.0,35.01613458935697
43,44,108.0,11.726460285670077,133.13888888888889,0.5242718446601942,38.879999999999995,7.035876171402046
45,46,2805.0,59.76150034078906,114.90552584670232,0.9609455292908531,1009.8,35.85690020447343
46,47,72.0,9.574614729634384,132.81944444444446,0.7578947368421053,25.919999999999998,5.74476883778063
51,52,1956.0,49.904474243317885,123.9601226993865,0.8846675712347354,704.16,29.94268454599073
52,53,740.0,30.695231927842155,128.9635135135135,0.7129094412331407,266.4,18.417139156705293
53,54,51.0,8.058239062071396,133.01960784313727,0.7083333333333334,18.36,4.8349434372428375
54,55,3652.0,68.18996126537112,113.50410733844468,0.955270729793356,1314.72,40.91397675922267
55,56,1026.0,36.14337799512211,128.01559454191033,0.7990654205607477,369.36,21.686026797073264
71,72,272.0,18.609705966725112,130.26470588235293,0.6181818181818182,97.92,11.165823580035067
73,74,139.0,13.303394180365686,129.8705035971223,0.7897727272727273,50.04,7.982036508219411
74,75,677.0,29.35954992478095,111.77400295420975,0.9087248322147651,243.72,17.61572995486857
75,76,274.0,18.677998695187732,129.17883211678833,0.7548209366391184,98.64,11.20679921711264
76,77,1700.0,46.52426491681278,107.87235294117647,0.9418282548476454,612.0,27.91455895008767
77,78,861.0,33.109805919349256,127.5191637630662,0.8499506416584403,309.96,19.865883551609553
78,79,1467.0,43.21854245721949,109.80572597137014,0.9607072691552063,528.12,25.931125474331694
79,80,1120.0,37.762789755305185,122.49017857142857,0.927920463960232,403.2,22.65767385318311
